business_description,domain_name,relevance,diversity,originality
global sphere software company in neighborhood with focus on sustainability,software-tech.org,0.3,.7,.8
global sphere software company in neighborhood with focus on sustainability,sustainabilityplatform.io,.4,.7,.8
global sphere software company in neighborhood with focus on sustainability,global-solutions.io,.4,.7,.8
ethereal clothing boutique,etherealstyle.com,.7,.6,.7
ethereal clothing boutique,clothingworksapparel.io,.6,.6,.7
ethereal clothing boutique,fashionworkswardrobe.org,.6,.6,.8
smart online store,storebazaar.co,.6,.5,.8
smart online store,storestore.org,.5,.5,.4
smart online store,smartshop.co,.4,.5,.7
bright coffee shop in neighborhood,brightcorner.com,.4,.7,.4
bright coffee shop in neighborhood,shopbrew.com,.6,.7,.6
bright coffee shop in neighborhood,shopcornercoffee.org,.7,.7,.6
dynamic pet store,petcorner.com,.5,.5,.6
dynamic pet store,storecornerpetcare.net,.5,.5,.4
dynamic pet store,petbuddy.co,.4,.5,.6
